headword,part(s) of speech,stars
big,adj,3
bike,noun,2
bile,noun,1
bill,noun,3
billion,number,2
bin,noun,1
bind,verb,3
binding,adj,2
binoculars,noun,1
biography,noun,1
biological,adj,2
biologist,noun,1
biology,noun,1
bird,noun,3
birth,noun,3
birthday,noun,2
biscuit,noun,2
bishop,noun,2
bit,"adv,_pronoun",3
bit,noun,2
bite,verb,2
bite,noun,1
bitter,adj,2
bitterly,adv,1
bizarre,adj,1
black,adj,3
black,noun,2
blackboard,noun,1
blackmail,verb,1
blade,noun,2
blame,verb,3
blame,noun,1
blank,adj,2
blanket,noun,2
blast,noun,1
blast,verb,1
blaze,noun,1
blaze,verb,1
bleak,adj,1
bleed,verb,1
bless,verb,1
blessing,noun,1
blind,adj,2
blind,verb,1
blink,verb,1
block,noun,3
block,verb,2
bloke,noun,2
blonde,adj,1
blood,noun,3
blouse,noun,1
blow,verb,3
blow,noun,2
blue,adj,3
blue,noun,2
blue-collar,adj,1
blues,noun,1
blurred,adj,1
blush,verb,1
board,noun,3
board,verb,1
boast,verb,1
boat,noun,3
body,noun,3
bodyguard,noun,1
boil,verb,1
boiling,adj,1
bold,adj,2
bolt,noun,1
bomb,noun,3
bomb,verb,2
bomber,noun,1
bombing,noun,1
bond,noun,2
bone,noun,3
bonfire,noun,1
bonnet,noun,1
bonus,noun,2
book,noun,3
book,verb,2
bookcase,noun,1
booking,noun,2
booklet,noun,2
bookshelf,noun,1
bookshop,noun,1
boom,noun,2
boom,verb,1
boost,verb,2
boost,noun,2
boot,noun,3
boot,verb,1
booth,noun,1
border,noun,3
border,verb,1
bore,verb,1
bore,noun,1
bored,adj,2
boredom,noun,1
boring,adj,2
born,adj,3
borough,noun,2
borrow,verb,2
borrower,noun,1
borrowing,noun,1
boss,noun,3
both,"determiner,_predeterminer,_pronoun",3
bother,verb,3
bottle,noun,3
bottom,noun,3
bottom,adj,2
bounce,verb,2
bound,adj,2
boundary,noun,2
bow,verb,1
bowl,noun,2
bowl,verb,1
bowler,noun,1
bowling,noun,1
box,noun,3
box,verb,1
boxer,noun,1
boy,noun,3
boyfriend,noun,2
bra,noun,1
bracket,noun,1
brain,noun,3
brake,noun,1
branch,noun,3
branch,verb,1
brand,noun,2
brand,verb,1
brand_name,noun,1
brand-new,adj,1
brandy,noun,1
brass,noun,2
brave,adj,2
breach,noun,2
breach,verb,1
bread,noun,3
break,verb,3
break,noun,3
breakdown,noun,2
breakfast,noun,3
breakthrough,noun,1
breast,noun,2
breath,noun,3
breathe,verb,2
breathing,noun,1
breathtaking,adj,1
breed,verb,2
breed,noun,2
breeding,noun,1
breeze,noun,2
bribery,noun,1
brick,noun,2
bride,noun,1
bridge,noun,3
brief,adj,3
brief,noun,1
brief,verb,1
briefcase,noun,1
briefly,adv,2
bright,adj,3
brilliant,adj,3
bring,verb,3
brink,noun,1
broad,adj,3
broadcast,verb,2
broadcast,noun,1
broaden,verb,1
broadly,adv,2
brochure,noun,1
broken,adj,2
broker,noun,1
bronze,noun,2
bronze,adj,1
broom,noun,1
brother,noun,3
brow,noun,1
brown,adj,3
brown,noun,1
browse,verb,1
bruise,verb,1
brush,verb,2
brush,noun,2
brutal,adj,1
bubble,noun,1
bubble,verb,1
bucket,noun,2
bud,noun,1
budget,noun,3
budget,verb,1
buffer,noun,1
bug,noun,1
build,verb,3
build,noun,1
builder,noun,2
building,noun,3
bulb,noun,1
bulk,noun,2
bull,noun,2
bullet,noun,2
bulletin,noun,1
bully,verb,1
bully,noun,1
bump,verb,1
bun,noun,1
bunch,noun,2
bundle,noun,1
bundle,verb,1
bungalow,noun,1
burden,noun,2
bureau,noun,2
bureaucracy,noun,2
bureaucrat,noun,1
bureaucratic,adj,1
burger,noun,1
burglar,noun,1
burglary,noun,1
burial,noun,1
burn,verb,3
burn,noun,1
burning,adj,2
burst,verb,2
bury,verb,2
bus,noun,3
bush,noun,2
business,noun,3
businessman,noun,2
businesswoman,noun,1
bust,noun,1
busy,adj,3
but,"adv,_conjunction,_preposition",3
butcher,noun,1
butter,noun,2
butterfly,noun,1
button,noun,2
buy,verb,3
buyer,noun,3
by,"adv,_preposition",3
bye,interjection,3
bypass,noun,1
bypass,verb,1
cabbage,noun,1
cabin,noun,2
cabinet,noun,3
cable,noun,2
café,noun,2
cage,noun,1
cake,noun,3
calcium,noun,1
calculate,verb,2
calculation,noun,2
calculator,noun,1
calendar,noun,2
calf,noun,1
call,verb,3
call,noun,3
caller,noun,1
calm,adj,2
calm,verb,2
calm,noun,1
calorie,noun,1
camera,noun,3
camp,noun,3
camp,verb,1
campaign,noun,3
campaign,verb,2
camping,noun,1
campus,noun,1
can,modal_verb,3
can,noun,2
canal,noun,2
cancer,noun,3
candidate,noun,3
candle,noun,2
