XrefEntry,Phrasal,XrefType,
fail,fall down,synonym
fail,fall through,synonym
fail,give out,synonym
fail,go under,synonym
fail,strike out,synonym
faint,black out,synonym
faint,pass out,synonym
fall,come down,synonym
fall,come down,synonym
fasten,do up,synonym
fasten,tie up,synonym
fell,cut down,synonym
fetch,go for,synonym
finalize,nail down,synonym
find,track down,synonym
finish,come in,synonym
finish,get through,synonym
finish,knock off,synonym
fire,loose off,synonym
fit,put in,synonym
flatten,level off,synonym
flatter,butter up,synonym
flatter,play up to,synonym
fleece,rip off,synonym
follow,stick to,synonym
forge,carve out,synonym
forget,leave behind,synonym
form,make up,synonym
frame,fit up,synonym
frame,set up,synonym
frame,stitch up,synonym
freeze,ice over,synonym
frisk,pat down,synonym
fulfil,carry out,synonym
gain,put on,synonym
get,come by,synonym
grab,snap up,synonym
graduate,pass out,synonym
grasp,take in,synonym
gut,burn out,synonym
handle,deal with,synonym
handle,deal with,synonym
handle,deal with,synonym
harvest,gather in,synonym
heal,close up,synonym
hem,turn up,synonym
herald,usher in,synonym
hesitate,hang back,synonym
hide,hole up,synonym
highlight,bring out,synonym
highlight,pick out,synonym
highlight,point up,synonym
hinder,keep back,synonym
hit,lay into,synonym
hoard,salt away,synonym
identify,pin down,synonym
ignore,pass over,synonym
illuminate,light up,synonym
imitate,take off ,synonym
impress,bowl over,synonym
improve,buck up,synonym
improve,come on,synonym
improve,look up,synonym
improvise,cobble together,synonym
improvise,rig up,synonym
inaugurate,swear in,synonym
include,build in,synonym
include,build in,synonym
include,count in,synonym
include,factor in,synonym
include,take in,synonym
include,throw in,synonym
inconvenience,put out,synonym
incorporate,build in,synonym
incorporate,build in,synonym
incorporate,work in,synonym
increase,crank up,synonym
increase,go up,synonym
increase,jack up,synonym
increase,scale up,synonym
increase,step up,synonym
indicate,point out,synonym
induce,put up to,synonym
indulge,pander to,synonym
inflate,blow up,synonym
inflate,pump up,synonym
inform,apprise of,synonym
inherit,come into,synonym
initiate,set up,synonym
inspect,check out,synonym
inspect,look over,synonym
install,put in,synonym
intend,start out,synonym
intensify,hot up,synonym
interrupt,break into,synonym
interrupt,butt in,synonym
interrupt,cut in,synonym
interrupt,cut into,synonym
interrupt,cut off,synonym
interrupt,jump in,synonym
interrupt,put in,synonym
intervene,step in,synonym
introduce,bring in,synonym
introduce,roll out,synonym
intrude,muscle in,synonym
invent,cook up,synonym
invent,make up,synonym
invent,make up,synonym
invent,think up,synonym
invest,put into,synonym
investigate,dig into,synonym
investigate,inquire into,synonym
investigate,look into,synonym
invoke,call down on,synonym
involve,draw in,synonym
isolate,cut off,synonym
isolate,cut off,synonym
issue,put out,synonym
join,fall in with,synonym
kill,bump off,synonym
kill,cut down,synonym
kill,dispose of,synonym
kill,finish off,synonym
kill,gun down,synonym
kill,put away,synonym
kill,rub out,synonym
kill,take out ,synonym
lambast,land on,synonym
lampoon,send up,synonym
land,bring down,synonym
land,put down,synonym
land,touch down,synonym
last,hold out,synonym
lead,head up,synonym
learn,mug up,synonym
learn,pick up,synonym
leave,check out,synonym
leave,draw out,synonym
leave,get away,synonym
leave,get off,synonym
leave,get out,synonym
leave,go off,synonym
leave,head off,synonym
leave,move on,synonym
leave,move out,synonym
leave,pull out,synonym
leave,set forth,synonym
leave,set off,synonym
leave,set out,synonym
like,care for,synonym
like,go for,synonym
like,go in for,synonym
linger,stick around,synonym
liquidate,wind up,synonym
list,heel over,synonym
lose,go down,synonym
lower,bring down,synonym
lower,let down,synonym
mail,post off,synonym
maintain,keep up,synonym
make,rack up,synonym
maltreat,rough up,synonym
manage,get by,synonym
match,accord with,synonym
